point,temperature,humidity
강릉,25.7,95
강진군,23.8,95
강화,24.9,100
거제,24.3,97
거창,23.3,99
경주시,24.0,98
고산,26.3,90
고창,24.5,100
고창군,24.2,95
고흥,24.1,99
광양시,24.0,92
광주,25.0,99
구미,24.4,97
군산,25.1,98
금산,24.6,100
김해시,25.0,97
남원,23.5,100
남해,23.9,98
대관령,21.0,98
대구,26.8,86
대전,25.7,97
동두천,24.7,100
동해,23.9,99
목포,25.7,96
문경,23.8,100
밀양,24.1,96
백령도,22.7,100
보령,24.5,96
보성군,24.3,100
보은,24.0,100
봉화,23.1,100
부산,26.0,92
부안,25.4,100
부여,24.9,98
북강릉,24.4,98
북춘천,24.6,100
산청,23.6,100
상주,24.2,100
서귀포,25.3,91
서산,23.8,97
서울,24.9,99
성산,24.9,90
세종,25.0,96
속초,23.7,96
수원,25.0,100
순창군,24.3,100
순천,22.9,99
안동,24.2,96
양산시,25.2,97
양평,24.7,100
여수,25.7,100
영광군,24.3,97
영덕,25.1,90
영월,23.9,98
영주,23.8,100
영천,23.5,97
완도,25.0,98
울릉도,25.6,96
울산,25.5,98
울진,24.4,98
원주,24.4,93
의령군,24.0,96
의성,24.8,99
이천,24.8,100
인제,24.2,98
인천,24.8,96
임실,22.9,100
장수,22.5,100
장흥,23.5,99
전주,25.4,93
정선군,23.3,100
정읍,24.2,95
제주,26.7,86
제천,23.7,99
진도군,23.6,100
진주,25.1,95
창원,25.1,94
천안,24.6,100
철원,24.4,100
청송군,23.6,99
청주,25.7,92
추풍령,23.5,92
춘천,25.3,98
충주,24.2,98
태백,21.4,99
통영,25.5,100
파주,25.0,100
포항,27.1,83
함양군,23.5,96
합천,23.9,100
해남,23.3,99
홍성,24.7,97
홍천,24.4,97
흑산도,24.3,99
